Episode,Reward
0,-92.5004
1,-92.2215
2,-87.5914
3,-81.4626
4,-85.5078
5,-84.6857
6,-92.3947
7,-90.0878
8,23.8522
9,-72.9947
10,-72.8475
11,-73.5895
12,-69.1016
13,20.988
14,20.67
15,-73.9607
16,-70.7044
17,-65.2907
18,-73.0086
19,16.5892
20,16.2038
21,21.5435
22,13.1845
23,24.9292
24,31.4916
25,12.8802
26,19.0279
27,18.9425
28,16.9198
29,20.7954
30,25.5926
31,46.1026
32,15.5134
33,11.9586
34,10.416
35,18.343
36,14.5197
37,29.1528
38,31.5324
39,25.1299
40,40.2048
41,3.39845
42,26.2718
43,11.6076
44,25.2572
45,9.29455
46,-0.263947
47,15.6944
48,12.2616
49,9.77277
50,40.184
51,16.253
52,31.877
53,35.2033
54,19.9943
55,19.8809
56,21.0858
57,13.5236
58,26.9126
59,18.6553
60,32.9382
61,14.6569
62,24.8176
63,24.32
64,32.9563
65,10.7647
66,19.3658
67,13.0676
68,12.6281
69,43.0078
70,9.71846
71,9.86729
72,16.873
73,32.7218
74,19.313
75,10.6687
76,34.0036
77,27.4066
78,18.5005
79,10.3512
80,2.31973
81,16.9711
82,19.0275
83,27.6345
84,32.1634
85,33.899
86,18.8369
87,13.9805
88,3.09494
89,22.2937
90,34.353
91,30.9506
92,8.03952
93,12.0338
94,17.8975
95,29.8006
96,12.0906
97,15.2529
98,18.319
99,30.6479
100,22.5244
101,21.1877
102,27.8373
103,19.2031
104,31.553
105,21.9606
106,18.3711
107,15.0993
108,6.26794
109,23.9276
110,21.1627
111,15.7246
112,16.8934
113,27.8672
114,43.6448
115,27.0127
116,20.7961
117,9.04348
118,12.1516
119,8.74796
120,-0.600919
121,17.7588
122,26.057
123,13.5222
124,28.1859
125,16.2277
126,10.1215
127,18.5217
128,35.9117
129,12.7003
130,27.8247
131,15.0373
132,23.1435
133,-3.45826
134,10.1359
135,17.7975
136,13.8592
137,17.2327
138,1.35119
139,9.40726
140,30.7921
141,6.35029
142,11.1911
143,6.60783
144,14.4089
145,26.5404
146,18.3148
147,15.2207
148,22.0623
149,32.5843
150,18.1894
151,33.8413
152,11.4081
153,10.9882
154,22.204
155,4.27059
156,17.1701
157,17.8402
158,21.9419
159,3.0708
160,20.8135
161,18.2461
162,15.4689
163,40.5357
164,27.1598
165,21.181
166,19.6328
167,16.1923
168,9.07875
169,2.11961
170,14.416
171,3.62356
172,36.8094
173,20.1808
174,19.3034
175,24.0393
176,34.4008
177,15.8915
178,22.6793
179,18.6402
180,29.993
181,42.4225
182,43.102
183,15.2093
184,19.4219
185,17.2525
186,27.7604
187,16.6703
188,11.2442
189,22.9331
190,19.697
191,35.687
192,16.709
193,20.3311
194,30.6579
195,13.5608
196,46.1061
197,11.6103
198,26.5003
199,25.0918
200,41.0585
201,20.9653
202,37.2959
203,16.4622
204,12.3452
205,40.7245
206,23.4229
207,25.2908
208,21.5938
209,40.72
210,13.3882
211,32.3687
212,20.2081
213,0.664391
214,30.0475
215,31.529
216,23.4897
217,27.9176
218,13.0962
219,30.3457
220,22.8089
221,17.9849
222,13.2845
223,-1.27903
224,19.121
225,30.7445
226,13.8491
227,10.605
228,27.0392
229,28.0613
230,20.2356
231,24.3254
232,9.71346
233,25.796
234,10.7472
235,25.8939
236,12.079
237,16.7066
238,11.9128
239,25.5425
240,19.9236
241,26.9231
242,25.5504
243,34.5017
244,29.753
245,5.8861
246,26.631
247,27.9178
248,26.0884
249,9.87062
250,32.6866
251,43.5869
252,17.6503
253,30.6794
254,19.8502
255,42.8516
256,30.0685
257,23.4851
258,11.5417
259,36.5723
260,15.5607
261,5.5319
262,21.6232
263,25.4154
264,15.8525
265,14.0549
266,-0.299044
267,26.4281
268,30.3623
269,30.2394
270,36.8278
271,16.5353
272,30.9245
273,9.53005
274,19.8542
275,18.8221
276,28.2916
277,18.6192
278,11.4774
279,23.407
280,13.5244
281,17.1973
282,28.8927
283,43.4153
284,24.8873
285,20.7764
286,10.5093
287,31.202
288,27.5228
289,36.6308
290,9.76575
291,22.5937
292,46.7186
293,16.1425
294,24.3498
295,13.491
296,23.9932
297,22.0287
298,13.5016
299,26.8813
300,38.4462
301,31.9767
302,29.5828
303,24.3167
304,28.603
305,6.88795
306,39.3967
307,32.244
308,16.9994
309,18.61
310,49.0964
311,34.5521
312,30.1225
313,18.7665
314,19.6777
315,32.4957
316,9.08369
317,35.577
318,22.752
319,29.6931
320,14.9969
321,39.753
322,28.9539
323,10.3404
324,30.0939
325,24.5678
326,26.5588
327,0.0651378
328,40.5015
329,24.1425
330,18.2589
331,24.6909
332,33.3112
333,11.5717
334,23.2668
335,16.3355
336,17.6831
337,19.2849
338,23.0388
339,17.2109
340,31.7169
341,24.0107
342,4.20782
343,39.2345
344,20.3567
345,11.5251
346,32.5724
347,22.2544
348,30.6475
349,32.7534
350,28.8252
351,21.0655
352,34.3849
353,23.2179
354,26.6835
355,24.4064
356,1.06335
357,36.4902
358,25.1325
359,39.3748
360,2.18561
361,22.7756
362,24.8231
363,29.8217
364,35.3806
365,22.0113
366,37.3777
367,20.6229
368,17.8818
369,13.1952
370,26.1323
371,46.1872
372,22.9385
373,26.9412
374,22.5077
375,13.5091
376,16.8901
377,32.4726
378,28.2295
379,18.1357
380,30.404
381,27.0931
382,13.0021
383,23.983
384,43.3118
385,22.7241
386,31.6994
387,31.6464
388,16.2706
389,25.7114
390,28.7378
391,18.8163
392,27.3105
393,30.3024
394,23.0488
395,17.6343
396,19.0288
397,24.8006
398,25.4621
399,21.5791
400,15.4429
401,26.1135
402,39.2737
403,25.6509
404,16.2036
405,22.1867
406,9.99928
407,19.7552
408,27.1607
409,33.99
410,23.2734
411,25.4667
412,25.3358
413,9.9224
414,33.6109
415,16.8662
416,39.2491
417,13.537
418,29.0342
419,41.7387
420,26.6382
421,23.1052
422,40.0651
423,43.3384
424,22.0856
425,12.1586
426,40.1978
427,30.7664
428,28.6404
429,30.0268
430,21.2257
431,13.4182
432,16.022
433,31.9164
434,30.183
435,23.0659
436,14.3671
437,26.3258
438,21.0972
439,19.9836
440,5.52553
441,26.7254
442,12.5038
443,15.2859
444,46.6476
445,25.4162
446,21.3363
447,14.3189
448,15.3144
449,21.2981
450,14.7663
451,23.0382
452,28.0525
453,15.6225
454,17.9837
455,7.34766
456,21.8936
457,34.2041
458,17.1185
459,14.1322
460,25.899
461,16.0157
462,6.58496
463,49.2969
464,8.85993
465,24.5621
466,23.2977
467,27.4947
468,22.8398
469,21.3704
470,24.7085
471,5.62699
472,14.4153
473,38.498
474,30.1471
475,13.7579
476,21.9465
477,17.1218
478,6.18232
479,10.5599
480,22.5507
481,32.9557
482,34.8061
483,-0.540268
484,28.3633
485,18.2171
486,26.6262
487,7.51699
488,27.174
489,35.9037
490,23.5764
491,17.35
492,19.7586
493,25.459
494,20.9117
495,16.2357
496,13.4994
497,30.0751
498,12.5392
499,17.1737
500,16.0455
501,41.6827
502,28.5999
503,50.5439
504,34.9436
505,28.4935
506,19.6535
