Episode,Reward
0,-92.528
1,-85.7062
2,-79.0059
3,-93.7196
4,-79.9452
5,-77.8364
6,-76.405
7,-86.2032
8,-71.2696
9,-13.7152
10,-17.5392
11,-13.2467
12,-16.6423
13,-13.4781
14,-10.2441
15,-78.9374
16,-12.089
17,-15.0617
18,6.34976
19,-8.73924
20,-12.0461
21,-16.1676
22,-12.9119
23,-12.0168
24,-8.67035
25,-12.0189
26,-10.4132
27,-3.09546
28,-15.5425
29,-9.59666
30,-35.1367
31,-9.44163
32,-64.4761
33,0.289195
34,0.871006
35,-0.394871
36,11.3287
37,21.7997
38,-77.4763
39,-77.3092
40,-74.9161
41,2.91208
42,-50.6992
43,-54.0906
44,28.7554
45,10.2061
46,10.7942
47,0.994481
48,-55.992
49,12.8892
50,-3.48402
51,4.26253
52,0.248518
53,1.48728
54,1.01441
55,1.77166
56,-0.814231
57,1.87537
58,1.30894
59,16.5958
60,11.8567
61,-0.868746
62,-0.916917
63,-67.1445
64,0.119791
65,2.277
66,-9.03014
67,1.74067
68,-0.391919
69,-0.791394
70,0.179068
71,-0.754719
72,-0.712838
73,1.76422
74,-1.3682
75,-0.851458
76,-1.28543
77,0.261189
78,-2.48103
79,0
80,0.504218
81,9.82702
82,7.51313
83,45.5862
84,11.3781
85,-5.5953
86,-1.18294
87,1.40356
88,-0.660782
89,1.79235
90,1.22989
91,1.2611
92,0.439975
93,-0.343999
94,-1.20299
95,-0.509033
96,19.3119
97,20.9396
98,-45.7168
99,-0.53926
100,1.27821
101,-0.167038
102,-24.8177
103,-17.2963
104,-47.8197
105,-10.8361
106,-9.90427
107,-46.1248
108,0
109,-0.241846
110,-0.41295
111,-4.3865
112,-1.64098
113,-3.81044
114,0
115,-0.403227
116,-0.373464
117,-6.43099
118,0
119,0.427741
120,0.613277
121,0
122,-0.373464
123,-14.9817
124,-23.4861
125,-34.5287
126,0
127,-7.01109
128,0.161946
129,0
130,0
131,0.797328
132,0
133,0.0868463
134,-0.606141
135,-1.48015
136,0
137,0
138,0
139,0
140,0
141,0
142,-10.9991
143,-1.20257
144,0
145,0
146,-0.178306
147,-0.377237
148,0
149,0
150,0.838066
151,-1.75839
152,0.406819
153,-0.400685
154,-0.36973
155,0.750832
156,-1.84026
157,-0.563905
158,-5.33578
159,0.403516
160,0.249461
161,-1.36785
162,-0.836307
163,-0.106774
164,-7.74315
165,-2.12136
166,0.45821
167,-7.92403
168,-1.46555
169,5.41452
170,-41.8386
171,-60.7256
172,2.67615
173,-3.30401
174,0.870556
175,0
176,0
177,4.47172
178,-31.3149
179,2.83714
180,-0.390997
181,0.110535
182,-3.50515
183,-1.47773
184,0.448674
185,-3.73445
186,3.25379
187,1.44333
188,0
189,0
190,-1.55576
191,-0.443048
192,-7.11425
193,0
194,-0.922745
195,-0.997916
196,-0.438618
197,-0.438618
198,0
199,0
200,-0.538543
201,0.386185
202,-0.421334
203,0
