Episode,Reward
0,-55.409
1,246.054
2,379.173
3,-81.6907
4,-75.932
5,263.41
6,-61.8883
7,-65.117
8,-9.25648
9,-16.2589
10,-9.96817
11,-12.4184
12,-11.1006
13,-12.5018
14,-11.9029
15,-11.2072
16,-13.0197
17,1.8974
18,2.47882
19,0.00614411
20,-0.411854
21,1.20169
22,-0.750356
23,0.645348
24,0.347532
25,1.13617
26,1.14848
27,3.39149
28,1.38914
29,2.1233
30,1.45273
31,-0.0314173
32,0.263608
33,1.77357
34,0.94887
35,1.28015
36,0.879932
37,1.86158
38,1.26765
39,0.366522
40,1.78186
41,2.13821
42,2.10933
43,0.947611
44,1.02382
45,1.923
46,0.214028
47,-0.317318
48,1.37212
49,1.40467
50,1.5069
51,19.2926
52,29.4081
53,-42.205
54,-53.9916
55,30.9617
56,-65.3245
57,-58.4265
58,65.6919
59,42.1645
60,47.8891
61,33.1522
62,-58.0931
63,40.7424
64,-67.8979
65,44.5101
66,54.2978
67,35.2599
68,47.9261
69,44.001
70,28.2867
71,31.2623
72,59.4711
73,56.539
74,15.1128
75,34.5853
76,65.8837
77,22.7365
78,67.3289
79,32.9555
80,28.9683
81,26.291
82,42.4394
83,35.9831
84,56.3201
85,35.7997
86,41.2754
87,20.6339
88,35.2692
89,45.9383
90,20.0968
91,63.0407
92,38.558
93,34.8377
94,93.9006
95,104.453
96,146.801
97,85.1847
98,137.049
99,147.067
100,96.7069
101,132.327
102,102.208
103,183.41
104,133.617
105,140.816
106,96.3156
107,81.5931
108,140.424
109,61.3193
110,-2.32628
111,0.0028115
112,4.13275
113,-3.40794
114,-1.36622
115,-0.0621319
116,-2.12835
117,3.17761
118,2.13982
119,-4.08283
120,-2.06624
121,1.49388
122,109.853
123,146.349
124,142.556
125,181.397
126,132.911
127,94.1506
128,39.2338
129,108.041
130,147.34
131,115.465
132,126.467
133,138.673
134,181.122
135,112.029
136,111.363
137,136.422
138,147.423
139,121.323
140,107.525
141,86.9346
142,132.798
143,121.352
144,99.2316
145,104.432
146,146.547
147,143.6
148,140.442
149,94.5555
150,105.017
151,131.927
152,100.249
153,155.925
154,120.896
155,102.613
156,24.357
157,30.7297
158,37.3164
159,40.7766
160,55.9545
161,48.2638
162,43.5436
163,50.0893
164,41.1948
165,24.7075
166,33.2515
167,28.5887
168,168.016
169,107.311
170,116.884
171,126.06
172,161.109
173,74.4733
174,2.46983
175,2.39132
176,0.661017
177,2.42783
178,1.08912
179,-0.320445
180,2.20538
181,-0.0276987
182,3.10772
183,2.42678
184,1.9008
185,0.796871
186,2.17026
187,1.219
188,2.5573
189,0.453387
190,1.43433
191,19.1101
192,32.8812
193,21.4505
194,36.9375
195,33.8377
196,18.2997
197,28.8105
198,60.826
199,46.4639
200,58.5781
201,-0.816332
202,49.5105
203,131.38
204,89.7392
205,121.563
206,101.59
207,114.494
208,177.022
209,77.0529
210,136.217
211,108.82
212,148.795
213,149.759
214,118.236
215,128.456
216,168.469
217,91.3866
218,135.731
219,101.118
220,127.215
221,119.207
222,179.399
223,128.206
224,95.9508
225,121.919
226,128.013
227,111.957
228,145.225
229,149.124
230,98.8754
231,179.442
232,114.689
233,123.17
234,120.404
235,93.8253
236,178.5
237,117.749
238,84.1202
239,136.184
240,140.455
241,124.73
242,146.904
243,80.1235
244,162.6
245,170.065
246,164.497
247,172.517
248,144.423
249,130.593
250,83.5989
251,117.482
252,160.398
253,152.648
254,87.4264
255,110.044
256,139.99
257,104.826
258,99.7341
259,118.284
260,204.635
261,101.048
262,71.3391
263,163.89
264,199.167
265,117.838
266,158.05
267,195.024
268,109.419
269,113.583
270,124.284
271,148.545
272,143.709
273,156.798
274,96.2593
275,143.719
276,145.605
277,107.733
278,112.041
279,103.333
280,145.495
281,152.611
282,117.841
283,93.5513
284,108.298
285,119.58
286,108.777
287,159.808
288,158.488
289,121.856
290,62.0414
291,96.0261
292,93.8709
293,134.34
294,109.401
295,100.356
296,150.374
297,65.5957
298,120.202
299,103.317
300,100.886
301,167.617
302,118.879
303,119.967
304,132.083
305,101.107
306,300.716
307,288.241
308,218.306
309,300.117
310,236.559
311,275.714
312,292.347
313,257.296
314,218.825
315,288.39
316,357.952
317,266.881
318,254.264
319,217.003
320,317.216
321,275.102
322,271.652
323,325.748
324,263.365
325,299.369
326,185.705
327,202.003
328,234.037
329,338.746
330,260.272
331,268.423
332,276.096
333,221.83
334,314.373
335,304.554
336,288.735
