Episode,Reward
0,-92.6695
1,-79.4394
2,-83.3489
3,-56.931
4,-12.2202
5,-76.3262
6,26.4313
7,-62.5594
8,-59.6714
9,-62.7228
10,15.0065
11,1.5336
12,17.9714
13,9.61437
14,14.7525
15,-62.8303
16,-62.1217
17,-64.3983
18,-63.5854
19,15.9729
20,28.0547
21,34.2729
22,27.2095
23,33.7735
24,20.8524
25,17.5855
26,31.1556
27,22.0928
28,-2.36902
29,9.79516
30,11.0356
31,23.7373
32,16.1107
33,-60.7209
34,-63.601
35,-61.4875
36,17.2039
37,22.2246
38,18.449
39,21.539
40,19.0244
41,11.3138
42,14.0545
43,21.5342
44,27.0034
45,11.8066
46,28.395
47,24.9709
48,15.6099
49,12.8459
50,24.5158
51,37.2609
52,21.3999
53,14.7926
54,12.7006
55,2.01337
56,17.0918
57,13.5399
58,22.7225
59,17.2171
60,10.5125
61,26.2983
62,24.6265
63,21.0694
64,22.8765
65,12.0891
66,27.8108
67,28.277
68,23.1537
69,12.2047
70,14.1675
71,19.4731
72,26.615
73,33.7045
74,6.27534
75,19.7083
76,11.3749
77,15.2258
78,11.4132
79,29.4148
80,10.174
81,16.2426
82,22.8772
83,11.1329
84,3.35748
85,17.4447
86,14.0889
87,-60.2155
88,11.8813
89,22.3177
90,16.2142
91,21.4278
92,27.8194
93,26.8518
94,15.9445
95,23.117
96,8.41728
97,18.4671
98,35.3187
99,40.5492
100,28.4257
101,32.3725
102,16.8301
103,16.8293
104,19.9586
105,17.2911
106,34.66
107,12.7518
108,16.3305
109,19.7261
110,12.5617
111,19.0355
112,11.9769
113,30.7331
114,22.0057
115,28.6858
116,14.5007
117,31.4287
118,22.777
119,15.0877
120,12.5643
121,28.9248
122,15.2158
123,11.6855
124,19.2319
125,10.0484
126,7.52595
127,8.89443
128,28.0064
129,14.7992
130,16.5508
131,12.256
132,10.6949
133,18.9904
134,24.5168
135,19.9529
136,5.53975
137,22.6048
138,11.4363
139,17.3567
140,-6.25835
141,9.86798
142,24.7187
143,22.2361
144,26.174
145,22.9557
146,23.9474
147,26.644
148,22.4699
149,12.9597
150,36.4197
151,7.19515
152,17.2528
153,15.5907
154,24.2779
155,11.319
156,10.1861
157,4.66455
158,23.2099
159,20.9233
160,19.7118
161,21.4796
162,20.0812
163,18.0909
164,12.9628
165,19.6815
166,20.5177
167,15.3723
168,8.98653
169,7.73977
170,19.7498
171,24.5337
172,26.342
173,21.5651
174,9.51467
175,21.9755
176,29.0301
177,26.0301
178,14.1182
179,10.9193
180,8.00202
181,21.1347
182,21.6549
183,11.7184
184,24.5069
185,26.3675
186,22.9695
187,23.3151
188,5.9657
189,29.1969
190,14.5252
191,12.7886
192,21.0412
193,21.2602
194,26.1339
195,15.4535
196,15.5006
197,34.6112
198,16.675
199,28.0452
200,19.2682
201,40.0272
202,6.34661
203,29.3303
204,21.8066
205,22.1163
206,22.9325
207,5.90867
208,22.0552
209,21.18
210,18.0861
211,40.6804
212,19.8597
213,25.4341
214,40.4914
215,3.42931
216,10.4426
217,13.3869
218,22.4853
219,19.8696
220,16.7471
221,24.3645
222,15.5631
223,21.3937
224,28.0242
225,26.5532
226,22.6059
227,5.27522
228,20.0096
229,30.2567
230,17.7796
231,15.2843
232,17.1142
233,20.4932
234,16.4346
235,25.6266
236,19.8063
237,18.1836
238,26.9538
239,18.5897
240,12.0517
241,17.3357
242,23.1727
243,19.0449
244,22.6035
245,25.2472
246,25.5707
247,0.378034
248,21.7434
249,35.351
250,21.1193
251,23.7782
252,23.6962
253,34.2498
254,16.4372
255,19.3564
256,26.28
257,15.4323
258,15.9907
259,3.25863
260,21.3095
261,13.0534
262,16.9054
263,29.5282
264,20.9707
265,20.2062
266,21.1874
267,15.7741
268,13.6398
269,14.0846
270,24.2595
271,21.0196
272,31.7051
273,18.4332
274,7.93289
275,1.97467
276,23.77
277,17.3032
278,20.7552
279,25.7398
280,6.95183
281,19.1849
282,18.2612
283,23.965
284,14.6582
285,1.29043
286,30.1423
287,21.778
288,15.4423
289,21.0144
290,32.0623
291,13.5117
292,2.97036
293,18.6999
294,20.2533
295,15.6403
296,20.8877
297,16.7275
298,22.9053
299,30.5342
300,8.19735
301,19.321
302,14.9405
303,11.5806
304,20.4481
305,18.3746
306,38.1748
307,27.1785
308,13.6525
309,14.3532
310,32.1103
311,16.0556
312,17.8773
313,11.9261
314,41.81
315,15.5535
316,26.0656
317,23.3146
318,20.3406
319,27.1447
320,20.3356
321,27.7213
322,15.2352
323,27.3498
324,10.847
325,22.3874
326,14.395
327,16.4081
328,25.1098
329,20.3075
330,20.5371
331,9.93217
332,28.0883
333,3.42689
334,30.8497
335,14.3207
336,22.7669
337,4.43408
338,5.66064
339,28.1839
340,21.4523
341,29.0202
342,22.8333
343,25.6888
344,22.9751
345,14.9148
346,6.86304
347,23.5623
348,23.2047
349,16.2599
350,25.3808
351,16.3231
352,12.9868
353,24.9575
354,5.06934
355,32.2758
356,18.4736
357,22.0944
358,10.0799
359,12.2764
360,18.1842
361,2.58684
362,23.0576
363,21.0356
364,26.961
365,21.6027
366,11.8299
367,20.9334
368,15.0549
369,19.243
370,15.0505
371,30.2767
372,17.9675
373,22.3561
374,21.2642
375,22.8949
376,9.14332
377,36.06
378,24.2956
379,14.1186
380,20.529
381,19.5728
382,17.4508
383,18.9126
384,16.2509
385,22.7909
386,21.6869
387,20.6935
388,9.05122
389,26.3105
390,30.8026
391,31.0922
392,16.0865
393,20.072
394,24.7062
395,13.1815
396,10.9911
397,21.7871
398,19.2283
399,11.5644
400,14.6615
401,27.9511
402,35.2277
403,19.8879
404,13.5512
405,8.60233
406,5.35572
407,17.5057
408,13.5836
409,28.7704
410,15.1542
411,17.7829
412,31.3133
413,23.9694
414,14.9595
415,35.9487
416,16.0238
417,19.1129
418,28.555
419,21.8243
420,40.854
421,17.8575
422,26.2703
423,31.0054
424,22.8847
425,23.7448
426,4.06875
427,18.7298
428,7.67481
429,15.6959
430,20.0806
431,17.1885
432,1.08285
433,12.8694
434,11.6019
435,20.2478
436,30.5259
437,30.0538
438,23.229
439,17.8281
440,22.7849
441,25.7167
442,26.5516
443,17.1869
444,20.4469
445,24.3189
446,18.772
447,4.1217
448,10.4314
449,18.1578
450,28.5888
451,0.868397
452,3.27471
453,2.96433
454,2.91986
455,1.49763
456,1.15527
457,1.43797
458,-0.00704173
459,2.88527
460,0.659201
461,0.926457
462,1.50745
463,1.26352
464,3.35009
465,1.38441
466,2.15677
467,1.4772
468,2.79081
469,2.86366
470,2.30221
471,1.53984
472,1.76683
473,1.38455
474,0.0461355
475,0.909338
476,2.40088
477,2.14815
478,3.16541
479,-2.94251
480,0.334953
481,1.22554
482,1.25711
483,1.94316
484,2.03092
485,2.25408
486,1.85201
487,1.2316
488,2.09614
489,2.72182
490,2.07127
491,1.78381
492,2.13607
493,-0.0231071
494,1.01208
495,0.550053
496,0
497,0.115071
498,0.172012
499,0.0979781
500,0.129821
501,0.0960283
502,1.17805
503,2.38442
504,0.282548
505,-0.693242
506,0.923887
507,-0.413272
508,0.364238
509,0
510,2.39782
511,2.29399
512,0.162294
513,0.0769792
514,0.182703
515,0
516,1.62836
517,1.28069
518,0
519,-1.14418
520,1.69109
521,0
522,-0.96576
523,2.42517
524,0.245247
525,3.9067
526,-0.602251
527,1.70147
528,0.867891
529,0
530,0.45924
531,1.52868
532,-0.351989
533,0
534,0.873935
535,2.16964
536,0.496121
537,1.22848
538,0
539,0.115071
540,0.135146
541,-0.981123
542,0.186413
543,2.9412
544,1.48684
545,1.52851
546,0.235355
547,0
548,1.81904
549,1.07315
550,-2.95716
551,-22.126
552,0.785395
553,2.42988
554,0.964385
555,1.12981
556,0.394733
557,0.327012
558,2.39692
559,0
560,1.41213
561,1.99001
562,2.37761
563,-29.1867
564,-41.6295
565,-38.829
566,-37.7032
567,1.6925
568,-0.651678
569,0.188387
570,2.49917
571,1.18407
572,1.43636
573,1.5033
574,0.160694
575,2.2582
576,0.124621
577,0.419143
578,0.338978
579,-0.30943
580,1.44756
581,1.7988
582,0.43168
583,1.95423
584,-0.0169225
585,0
586,1.94558
587,0
588,0.190198
589,0.894126
590,-0.750343
591,-0.411122
592,1.54336
593,2.41585
594,2.31533
595,1.39895
596,1.5703
597,1.93891
598,2.31258
599,0.295924
600,0.442795
601,0.190198
602,0
603,0.740462
604,0.115071
605,-1.27426
606,0.490855
607,-0.310265
608,0.318111
609,2.09437
610,0.490276
611,0.69248
612,0.72834
613,2.21045
614,0.919205
615,1.03491
616,1.22262
617,2.66747
618,-0.258158
619,1.24522
620,0.106181
621,1.96748
622,0.407417
623,0.560592
624,1.09129
625,0.875624
626,0.338423
627,-0.662053
628,-2.08069
629,1.68551
630,2.55352
631,1.17001
632,0
633,1.34131
634,0.757493
635,16.5695
636,14.3104
637,1.55978
638,16.3425
639,0.348727
640,1.2119
641,1.52091
642,1.20473
643,0.0904087
644,0.317084
645,1.36967
646,0.558372
647,0.223683
648,-0.451451
649,-0.181465
650,0.190198
651,0.257681
652,2.46674
653,0.233706
654,0
655,0.237199
656,0
657,-0.0697632
658,2.20881
659,0.32489
660,-0.330575
661,1.60264
662,1.98514
663,0.135146
664,1.24547
665,1.89666
666,1.90692
667,-0.180661
668,0.834488
669,1.0026
670,1.94346
671,-0.0948846
672,0.374263
673,-0.316541
674,2.26408
675,2.58925
676,1.38398
677,0.294139
678,2.05436
679,0.354572
680,1.90741
681,1.41275
682,2.32301
683,1.37059
684,0.915625
685,1.28206
686,0.0769792
687,-0.34955
688,-0.245989
689,1.9336
690,0.441317
691,0.672334
692,0.930206
693,0.477425
694,1.10637
695,-0.436745
696,0.779967
697,1.0575
698,-1.26257
699,1.51843
700,0.165234
701,-0.106898
702,0
703,0.565935
704,1.21653
705,0.9776
706,0.133275
707,1.78594
708,0.124705
709,0.155564
710,0
711,0.108337
712,-1.40226
713,0.146461
714,-0.639685
715,0.648432
716,-0.448827
717,0
718,0.279353
719,0.112781
720,0
721,0
722,0.0416339
723,-0.25636
724,1.36012
725,1.90505
726,1.69602
727,0.133716
728,1.69995
729,0.931308
730,0.806189
731,24.8597
732,13.5865
733,6.15625
734,8.25435
735,10.9102
736,19.63
737,10.6537
738,6.32981
739,18.4574
740,19.24
741,19.1675
742,31.815
743,17.7547
744,34.4317
745,22.1913
746,20.771
747,8.58963
748,8.22074
749,13.8129
750,30.3464
751,19.1649
752,20.6135
753,3.15573
754,21.7044
755,0.758353
756,20.4191
757,14.5377
758,14.414
759,1.73137
760,0.748452
761,-0.17218
762,2.2268
763,0.778297
764,2.06972
765,2.1361
766,0.799911
767,0.257473
768,2.18978
769,2.26225
770,1.2928
771,2.0723
772,1.91639
773,1.89101
774,0.945929
775,0.184897
776,2.63895
777,1.78417
778,1.29116
779,1.77822
780,2.03217
781,0.881869
782,1.57653
783,0.821262
784,1.14012
785,-1.42975
786,0.848374
787,0.341197
788,2.65653
789,0.971552
790,-0.987614
791,1.17108
792,2.77226
793,1.57721
794,22.5397
795,13.6139
796,13.2537
797,1.48483
798,26.5147
799,10.3037
800,16.7305
801,27.9286
802,26.756
803,34.0929
804,13.3084
805,11.2542
806,10.397
807,16.2339
808,16.6303
809,16.6279
810,21.64
811,34.7872
812,19.1498
813,14.078
814,16.4353
815,19.6142
816,15.445
817,26.7168
818,13.9508
819,11.8071
820,21.7242
821,27.3448
822,31.0382
823,14.2876
824,17.5122
825,29.5791
826,-0.408571
827,2.35085
828,-0.201597
829,1.83746
830,-0.352092
831,0.241132
832,0.460804
833,1.1095
834,0.493416
835,2.05525
836,1.41178
837,-0.151304
838,2.4661
839,0.982924
840,1.29343
841,1.56746
842,0.585887
843,0.0456788
844,0.709592
845,0.841807
846,2.31312
847,1.91164
848,2.06014
849,2.1376
850,1.69073
851,0.783449
852,0.992259
853,1.82346
854,2.99495
855,0.797938
856,0.429266
857,1.27162
858,2.29263
859,2.37476
860,-1.56347
861,3.65658
862,-0.614437
863,1.79296
864,1.38313
865,0.0169561
866,2.66732
867,1.03212
868,0.122223
869,0
870,0.168589
871,0
872,2.17005
873,2.949
874,-0.851786
875,0.0960311
876,0
877,0.162941
878,2.46075
879,0.0868463
880,0.301332
881,0.375039
882,0
883,-0.676626
884,0.0941173
885,1.63143
886,2.61779
887,0.182703
888,0.232572
889,0.284236
890,0.081764
891,1.62441
892,0
893,0.179374
894,0
895,0.161946
896,0.283841
897,2.12127
898,1.17474
899,2.27703
900,1.28903
901,1.35727
902,0
903,0
904,-0.565521
905,0.940495
906,0.104068
907,0.149434
908,2.2654
909,-0.1281
910,0.168589
911,1.29884
912,0.789488
913,1.32799
914,-0.124607
915,0.0232332
916,-0.619125
917,-5.91492
918,0.487188
919,-0.533826
920,1.27725
921,1.24622
922,5.81537
923,1.73924
924,-1.01049
925,0.29711
926,0.741961
927,2.16709
928,0.620711
929,-0.311507
930,0.346704
931,1.51093
